,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
481,1,1,1,,1,,,,1,1
482,1,1,4,,1,,,,1,1
483,1,1,2,,0,,,,0,1
485,2,1,3,,1,,,,3,3
489,3,1,0,,0,,,,0,3
494,0,1,4,,5,,,,1,0
496,0,2,2,,0,,,,2,0
501,0,1,4,,0,,,1,0,0
504,0,0,1,,0,,,,0,0
509,3,1,2,,1,,,,0,6
517,3,2,2,,0,,,,0,5
519,0,1,4,,1,,,,0,0
521,1,0,4,,0,,,,1,1
522,1,0,6,,0,,,,1,1
524,1,0,5,,1,,,,1,1
528,1,0,7,,1,,,,1,2
530,1,1,13,,1,,,,0,2
531,0,0,3,,0,,,,1,0
533,2,0,4,,2,,,,2,3
540,0,0,4,,0,,,,2,0
541,1,0,0,,0,,,,1,1
542,0,0,1,,0,,,,0,0
543,0,1,4,,0,,,,0,0
545,0,2,2,,0,,,,0,0
554,0,1,4,,0,,,,0,0
560,1,0,0,,1,,,,0,1
561,2,3,2,,2,,,,1,4
562,3,0,1,,1,,,1,1,3
563,2,1,4,,1,,,,1,2
565,3,1,1,,2,,,1,0,6
567,2,0,2,,0,,,1,0,2
568,0,0,0,,0,,,,0,0
576,0,0,0,,1,,,,0,0
580,1,2,2,,0,,,,1,2
586,1,1,3,,1,,,,0,1
591,1,0,0,,1,,,,1,1
592,1,1,3,,0,,,,2,1
594,1,1,3,,1,,,,0,2
597,1,1,1,,0,,,2,2,2
601,0,0,1,,1,,,,1,0
604,0,0,0,,0,,,,1,0
611,0,0,4,,0,,,,0,0
614,3,2,0,,0,,,,2,4
618,0,0,0,,0,,,,1,0
619,0,1,4,,2,,,,1,0
624,0,2,7,,1,,,,1,0
627,2,0,3,,0,,,,0,2
628,0,0,2,,0,,,,0,0
632,1,0,0,,1,,,,1,1
634,0,0,5,,0,,,,4,0
638,0,0,4,,1,,,,0,0
640,1,2,3,,0,,,,0,1
642,1,5,3,,0,,,,1,4
643,0,1,5,,0,,,,2,0
646,0,1,3,,0,,,,1,0
656,1,1,4,,3,,,1,2,2
661,0,0,1,,0,,,1,0,0
663,2,0,2,,0,,1,,0,2
669,1,1,2,,1,,,,0,1
676,1,0,0,,0,,,,1,5
677,0,2,6,,0,,,,1,0
679,0,0,0,,0,,,1,0,0
680,0,2,8,,0,,,,0,0
683,0,0,4,,0,,,,0,0
684,0,0,2,,1,,,,3,0
685,0,0,1,,0,,,,0,0
688,0,0,8,,1,,1,,1,0
689,4,6,4,,4,,,,0,5
697,3,0,2,,0,,,,2,4
699,0,0,0,,0,,,1,0,0
704,0,0,2,,0,,,,2,0
707,5,2,4,,0,,,1,3,5
708,0,0,0,,0,,,,0,0
713,0,0,2,,0,,,,1,0
719,1,1,7,,0,,,,2,1
720,1,1,3,,0,,,,1,3
721,1,2,1,,0,,,,1,1
723,0,0,1,,3,,,,2,0
724,3,2,3,,2,,,,0,4
725,0,0,0,,0,,,,1,0
